,geoRegion,ageRange,sex,pop
255,OW,10 - 19,female,1859
256,OW,20 - 29,male,2226
257,OW,20 - 29,female,2033
258,OW,30 - 39,male,2505
259,OW,30 - 39,female,2463
260,OW,40 - 49,male,2594
261,OW,40 - 49,female,2452
262,OW,50 - 59,male,3117
263,OW,50 - 59,female,2987
264,OW,60 - 69,male,2472
265,OW,60 - 69,female,2362
266,OW,70 - 79,male,1700
267,OW,70 - 79,female,1677
268,OW,80+,male,804
269,OW,80+,female,1127
270,SG,0 - 9,male,27524
271,SG,0 - 9,female,25864
272,SG,10 - 19,male,26517
273,SG,10 - 19,female,25278
274,SG,20 - 29,male,34263
275,SG,20 - 29,female,31518
276,SG,30 - 39,male,37354
277,SG,30 - 39,female,34794
278,SG,40 - 49,male,33889
279,SG,40 - 49,female,32580
280,SG,50 - 59,male,38664
281,SG,50 - 59,female,37973
282,SG,60 - 69,male,29056
283,SG,60 - 69,female,29670
284,SG,70 - 79,male,20744
285,SG,70 - 79,female,22750
286,SG,80+,male,10097
287,SG,80+,female,15969
288,SH,0 - 9,male,4051
289,SH,0 - 9,female,3811
290,SH,10 - 19,male,3932
291,SH,10 - 19,female,3721
292,SH,20 - 29,male,4934
293,SH,20 - 29,female,4498
294,SH,30 - 39,male,5730
295,SH,30 - 39,female,5407
296,SH,40 - 49,male,5366
297,SH,40 - 49,female,5203
298,SH,50 - 59,male,6247
299,SH,50 - 59,female,6433
300,SH,60 - 69,male,5197
301,SH,60 - 69,female,5352
302,SH,70 - 79,male,3716
303,SH,70 - 79,female,4263
304,SH,80+,male,1989
305,SH,80+,female,3257
306,SO,0 - 9,male,13867
307,SO,0 - 9,female,13242
308,SO,10 - 19,male,13331
309,SO,10 - 19,female,12411
310,SO,20 - 29,male,16464
311,SO,20 - 29,female,15596
312,SO,30 - 39,male,19304
313,SO,30 - 39,female,18630
314,SO,40 - 49,male,18044
315,SO,40 - 49,female,17675
316,SO,50 - 59,male,22112
317,SO,50 - 59,female,21711
318,SO,60 - 69,male,17619
319,SO,60 - 69,female,17482
320,SO,70 - 79,male,11972
321,SO,70 - 79,female,12809
322,SO,80+,male,5913
323,SO,80+,female,9280
324,SZ,0 - 9,male,8165
325,SZ,0 - 9,female,7681
326,SZ,10 - 19,male,7857
327,SZ,10 - 19,female,7396
328,SZ,20 - 29,male,9561
329,SZ,20 - 29,female,8844
330,SZ,30 - 39,male,11274
331,SZ,30 - 39,female,10590
332,SZ,40 - 49,male,11761
333,SZ,40 - 49,female,11059
334,SZ,50 - 59,male,14264
335,SZ,50 - 59,female,12798
336,SZ,60 - 69,male,10306
337,SZ,60 - 69,female,9389
338,SZ,70 - 79,male,6723
339,SZ,70 - 79,female,6761
340,SZ,80+,male,3198
341,SZ,80+,female,4530
342,TG,0 - 9,male,15333
343,TG,0 - 9,female,14340
344,TG,10 - 19,male,14161
345,TG,10 - 19,female,13334
346,TG,20 - 29,male,17295
347,TG,20 - 29,female,16219
348,TG,30 - 39,male,20686
349,TG,30 - 39,female,19305
350,TG,40 - 49,male,18763
351,TG,40 - 49,female,18045
352,TG,50 - 59,male,22586
353,TG,50 - 59,female,22256
354,TG,60 - 69,male,17171
355,TG,60 - 69,female,16901
356,TG,70 - 79,male,11185
357,TG,70 - 79,female,11910
358,TG,80+,male,5347
359,TG,80+,female,8072
360,TI,0 - 9,male,14794
361,TI,0 - 9,female,14099
362,TI,10 - 19,male,17235
363,TI,10 - 19,female,16409
364,TI,20 - 29,male,19222
365,TI,20 - 29,female,18068
366,TI,30 - 39,male,19942
367,TI,30 - 39,female,19943
368,TI,40 - 49,male,24075
369,TI,40 - 49,female,25308
370,TI,50 - 59,male,28915
371,TI,50 - 59,female,29111
372,TI,60 - 69,male,20629
373,TI,60 - 69,female,21893
374,TI,70 - 79,male,16474
375,TI,70 - 79,female,19613
376,TI,80+,male,9544
377,TI,80+,female,15712
378,UR,0 - 9,male,1788
379,UR,0 - 9,female,1743
380,UR,10 - 19,male,2002
381,UR,10 - 19,female,1782
382,UR,20 - 29,male,2308
383,UR,20 - 29,female,2118
384,UR,30 - 39,male,2365
385,UR,30 - 39,female,2162
386,UR,40 - 49,male,2408
387,UR,40 - 49,female,2316
388,UR,50 - 59,male,2854
389,UR,50 - 59,female,2660
390,UR,60 - 69,male,2440
391,UR,60 - 69,female,2285
392,UR,70 - 79,male,1743
393,UR,70 - 79,female,1769
394,UR,80+,male,860
395,UR,80+,female,1216
396,VD,0 - 9,male,44493
397,VD,0 - 9,female,42603
398,VD,10 - 19,male,46963
399,VD,10 - 19,female,44142
400,VD,20 - 29,male,54520
401,VD,20 - 29,female,52102
402,VD,30 - 39,male,59253
403,VD,30 - 39,female,59225
404,VD,40 - 49,male,58141
405,VD,40 - 49,female,59818
406,VD,50 - 59,male,56976
407,VD,50 - 59,female,57674
408,VD,60 - 69,male,38235
409,VD,60 - 69,female,40740
410,VD,70 - 79,male,27461
411,VD,70 - 79,female,34046
412,VD,80+,male,14175
413,VD,80+,female,24195
414,VS,0 - 9,male,17035
415,VS,0 - 9,female,16431
416,VS,10 - 19,male,17654
417,VS,10 - 19,female,16648
418,VS,20 - 29,male,21795
419,VS,20 - 29,female,20743
420,VS,30 - 39,male,23884
421,VS,30 - 39,female,22985
422,VS,40 - 49,male,23203
423,VS,40 - 49,female,22640
424,VS,50 - 59,male,26434
425,VS,50 - 59,female,26386
426,VS,60 - 69,male,20392
427,VS,60 - 69,female,21353
428,VS,70 - 79,male,15391
429,VS,70 - 79,female,17359
430,VS,80+,male,7167
431,VS,80+,female,11003
432,ZG,0 - 9,male,6768
433,ZG,0 - 9,female,6426
434,ZG,10 - 19,male,6560
435,ZG,10 - 19,female,6236
436,ZG,20 - 29,male,6874
437,ZG,20 - 29,female,6442
438,ZG,30 - 39,male,9389
439,ZG,30 - 39,female,9094
440,ZG,40 - 49,male,9914
441,ZG,40 - 49,female,9549
442,ZG,50 - 59,male,10989
443,ZG,50 - 59,female,9977
444,ZG,60 - 69,male,7309
445,ZG,60 - 69,female,6918
446,ZG,70 - 79,male,4998
447,ZG,70 - 79,female,5300
448,ZG,80+,male,2426
449,ZG,80+,female,3625
450,ZH,0 - 9,male,83884
451,ZH,0 - 9,female,79562
452,ZH,10 - 19,male,74061
453,ZH,10 - 19,female,69562
454,ZH,20 - 29,male,95413
455,ZH,20 - 29,female,90891
456,ZH,30 - 39,male,129509
457,ZH,30 - 39,female,126244
458,ZH,40 - 49,male,117497
459,ZH,40 - 49,female,113149
460,ZH,50 - 59,male,114265
461,ZH,50 - 59,female,108798
462,ZH,60 - 69,male,74674
463,ZH,60 - 69,female,79288
464,ZH,70 - 79,male,55346
465,ZH,70 - 79,female,64572
466,ZH,80+,male,29650
467,ZH,80+,female,47058
468,FL,0 - 9,male,1981
469,FL,0 - 9,female,1803
470,FL,10 - 19,male,2022
471,FL,10 - 19,female,1855
472,FL,20 - 29,male,2253
473,FL,20 - 29,female,2230
474,FL,30 - 39,male,2503
475,FL,30 - 39,female,2507
476,FL,40 - 49,male,2683
477,FL,40 - 49,female,2745
478,FL,50 - 59,male,3194
479,FL,50 - 59,female,3240
480,FL,60 - 69,male,2440
481,FL,60 - 69,female,2544
482,FL,70 - 79,male,1668
483,FL,70 - 79,female,1778
484,FL,80+,male,624
485,FL,80+,female,985
486,CH,0 - 9,male,450677
487,CH,0 - 9,female,426126
488,CH,10 - 19,male,436790
489,CH,10 - 19,female,412708
490,CH,20 - 29,male,531927
491,CH,20 - 29,female,506207
492,CH,30 - 39,male,628274
493,CH,30 - 39,female,614956
494,CH,40 - 49,male,604325
495,CH,40 - 49,female,597152
496,CH,50 - 59,male,654368
497,CH,50 - 59,female,644741
498,CH,60 - 69,male,475971
499,CH,60 - 69,female,491322
500,CH,70 - 79,male,343955
501,CH,70 - 79,female,392512
502,CH,80+,male,176312
503,CH,80+,female,281977
504,CHFL,0 - 9,male,452658
505,CHFL,0 - 9,female,427929
